,Name,Sex,Date of Birth,Age,Height (inches),Weight (lb),Class Year,Major,School,"Grade in ""Intro to python""","Grade in ""Intro to Stats""",Final Data Science Grade
0,Gabriel Hernandez,0,1997-06-16,26,68.0,160,2019,Michigan State University,Computer Science & Engineering,C,"""88.7""",81.6
1,Kyle Poole,2,2003-09-03,20,66.0,150,2025,Harvard University,Computer Science & Engineering,C,"""86.6""",91.0
2,Reginald Hanson,2,1996-05-24,27,70.0,170,2018,Marquette University,Math,Pass,"""84.1""",85.1
3,Brian Horton,0,2002-03-14,21,69.0,155,2024,Marquette University,Computer Science & Engineering,Fail,"""82.4""",86.8
4,Paige Williams,1,2002-05-24,21,63.0,135,2024,Brown University,Computer Science & Engineering,A,"""89.2""",100.0
5,Andrew Drake,2,1992-09-07,31,64.0,105,2014,UCLA,Math,,"""95.0""",88.6
6,Jean Butler,1,1999-11-03,24,65.0,130,2021,USC,Computer Science & Engineering,C,"""82.1""",92.4
7,Melissa Drake,2,1998-01-19,25,64.0,120,2020,Harvard University,Computer Science & Engineering,D,"""92.0""",88.9
8,Robert Johnson,0,1994-12-25,29,67.0,155,2016,UCLA,Computer Science & Engineering,A,"""83.5""",96.1
9,Tara Hughes,2,1998-12-12,25,71.0,180,2020,UCLA,Math,,"""86.1""",76.0
10,Tracy Jones,1,1999-11-26,24,64.0,105,2021,UMBC,Computer Science & Engineering,Pass,"""81.7""",75.8
11,Matthew Kelly,2,1993-05-20,30,69.0,150,2015,MIT,Computer Science & Engineering,C,"""76.0""",98.0
12,Jonathan Boone,0,2003-05-08,20,69.0,160,2025,University of Illinois,Computer Science & Engineering,B,"""74.0""",86.6
13,Mary Cook,2,1996-08-24,27,67.0,155,2018,Stanford University,Computer Science & Engineering,C,"""95.0""",91.5
14,Matthew Holloway,0,1997-09-25,26,69.0,155,2019,Michigan State University,Electrical Engineering,,"""94.5""",82.9
15,Felicia Thompson,1,1999-11-29,24,63.0,110,2021,St. Joseph's University,Theology,,"""91.0""",89.6
16,Chris Nelson,0,1999-08-15,24,68.0,145,2021,University of Michigan (boo),Computer Science & Engineering,B,"""92.1""",92.0
17,Susan Grant,2,2003-03-21,20,177.0,160,2025,Stanford University,Theology,,"""66.1""",86.4
18,Sylvia Joseph,2,1997-01-06,26,70.0,145,2019,Holy Cross College,Computer Science & Engineering,F,"""75.9""",84.3
19,Paige Garcia,1,1999-10-26,24,64.0,120,2021,University of Nebraska,Computer Science & Engineering,Pass,"""82.0""",82.3
20,Darlene Chan,2,1999-10-30,24,70.0,145,2021,USC,Computer Science & Engineering,B,"""87.4""",75.1
21,Anthony Marquez,2,1993-07-09,30,66.0,125,2015,Brown University,Computer Science & Engineering,D,"""80.6""",75.7
22,Kayla Gordon,1,1999-06-08,24,61.0,115,2021,UMBC,Computer Science & Engineering,Pass,"""80.5""",88.9
23,Lori Huang,2,1999-01-23,24,66.0,165,2021,UMBC,Computer Science & Engineering,Fail,"""76.4""",74.7
24,Fernando Byrd,0,1999-07-21,24,69.0,155,2021,Michigan State University,Computer Science & Engineering,A,"""79.4""",81.7
25,Jose Tran,0,2002-12-07,21,70.0,150,2024,Michigan State University,Electrical Engineering,,"""90.8""",93.5
26,Monique Williams,1,1998-06-15,25,62.0,125,2020,MIT,Computer Science & Engineering,B,"""84.7""",81.7
27,Mary Williams,1,2003-02-14,20,61.0,120,2025,UMBC,Computer Science & Engineering,Pass,"""86.0""",81.4
28,Jody Edwards,1,1998-06-23,25,63.0,120,2020,St. Joseph's University,Computer Science & Engineering,Pass,"""83.8""",90.0
29,Yvonne Lewis,2,2001-02-20,22,63.0,115,2023,University of Michigan (boo),Computer Science & Engineering,B,"""70.8""",62.3
